repo_name,test_func,main_api,sec_op,var_type,var,scope,violated_path_num,score
kernel,l2x0_of_init,of_find_matching_node,of_node_put,retval,np,Local,3,42.39
kernel,gicv2m_of_init,of_find_matching_node,of_node_put,retval,child,Local,3,42.39
kernel,tegra124_132_clock_init_pre,of_find_matching_node,of_node_put,retval,node,Local,3,42.39
kernel,atl2c_of_init,of_find_matching_node,of_node_put,retval,np,Local,3,42.39
kernel,tegra_init_fuse,of_find_matching_node,of_node_put,retval,np,Local,3,42.39
kernel,pxa_dt_irq_init,of_find_matching_node,of_node_put,retval,node,Local,3,42.39
kernel,mtk_ddp_comp_init,of_find_device_by_node,put_device,retval,comp_pdev,Local,6,42.24
kernel,omap3xxx_prm_late_init,of_find_matching_node,of_node_put,retval,np,Local,2,42.19
kernel,ux500_pm_domains_init,of_find_matching_node,of_node_put,retval,np,Local,2,42.19
kernel,opal_powercap_init,of_find_compatible_node,of_node_put,retval,powercap,Local,5,42.19
kernel,tegra_init_apbmisc,of_find_matching_node,of_node_put,retval,np,Local,2,42.19
kernel,xilinx_pci_init,of_find_matching_node,of_node_put,retval,pci_node,Local,2,42.19
kernel,ap_flash_init,of_find_matching_node,of_node_put,retval,ebi,Local,2,42.19
kernel,intcp_init_of,of_find_matching_node,of_node_put,retval,cpcon,Local,2,42.19
kernel,qoriq_cpufreq_probe,of_find_matching_node,of_node_put,retval,np,Local,2,42.19
kernel,uniphier_cache_init,of_find_matching_node,of_node_put,retval,np,Local,2,42.19
kernel,tc2_pm_init,of_find_compatible_node,of_node_put,retval,np,Local,5,42.19
kernel,pfuze_parse_regulators_dt,of_node_get,of_node_put,retval,np,Local,3,42.16
kernel,spm_cpuidle_register,of_find_device_by_node,put_device,retval,pdev,Local,5,42.04
kernel,ahci_platform_get_resources,of_find_device_by_node,put_device,retval,port_dev,Local,5,42.04
kernel,ti_pipe3_get_sysctrl,of_find_device_by_node,put_device,retval,control_pdev,Local,5,42.04
kernel,dcscb_init,of_find_compatible_node,of_node_put,retval,node,Local,4,41.99
kernel,ill_acc_of_setup,of_find_compatible_node,of_node_put,retval,np,Local,4,41.99
kernel,cache_setup_of_node,of_node_get,of_node_put,retval,np,Local,2,41.96
kernel,rcar_du_cmm_init,of_find_device_by_node,put_device,retval,pdev,Local,4,41.84
kernel,nmk_gpio_populate_chip,of_find_device_by_node,put_device,retval,gpio_pdev,Local,4,41.84
kernel,omap2430_probe,of_find_device_by_node,put_device,retval,control_pdev,Local,4,41.84
kernel,omap_iommu_probe_device,of_find_device_by_node,put_device,retval,pdev,Local,4,41.84
kernel,sba_probe,of_find_device_by_node,put_device,retval,mbox_pdev,Local,4,41.84
kernel,dtb_lapic_setup,of_find_compatible_node,of_node_put,retval,dn,Local,3,41.79
kernel,uv_init,of_find_compatible_node,of_node_put,retval,node,Local,3,41.79
kernel,at91_pm_modes_init,of_find_compatible_node,of_node_put,retval,np,Local,3,41.79
kernel,update_fec_mac_prop,of_find_compatible_node,of_node_put,retval,np,Local,3,41.79
