repo_name,test_func,main_api,sec_op,var_type,var,scope,violated_path_num
kernel,stratix10_svc_init,of_find_node_by_name,of_node_put,retval,fw_np,Local,2
kernel,mpic_msgr_block_number,of_find_node_by_name,of_node_put,retval,aliases,Local,3
kernel,vio_init,of_find_node_by_name,of_node_put,retval,cdev_node,Global,6
kernel,aspeed_adc_set_trim_data,of_find_node_by_name,of_node_put,retval,syscon,Local,2
kernel,pmu_i2c_probe,of_find_node_by_name,of_node_put,retval,busnode,Local,2
kernel,am33xx_pm_rtc_setup,of_find_node_by_name,of_node_put,retval,np,Local,3
kernel,imx_sc_thermal_probe,of_find_node_by_name,of_node_put,retval,np,Local,2
kernel,_init,of_find_node_by_name,of_node_put,retval,bus,Local,3
kernel,dwc3_octeon_device_init,of_find_node_by_name,of_node_put,retval,node,Local,3
kernel,via_pmu_start,of_find_node_by_name,of_node_put,retval,gpio_node,Global,5
kernel,create_opalcore,of_find_node_by_name,of_node_put,retval,dn,Local,2
kernel,probe_uninorth,of_find_node_by_name,of_node_put,retval,uninorth_node,Global,5
kernel,valkyriefb_init,of_find_node_by_name,of_node_put,retval,dp,Local,4
kernel,pmac_cpufreq_init_MacRISC3,of_find_node_by_name,of_node_put,retval,volt_gpio_np,Global,20
kernel,snd_pmac_detect,of_find_node_by_name,of_node_put,retval,chip->node,Global,3
kernel,of_find_spi_device_by_node,bus_find_device_by_of_node,put_device,retval,dev,Global,2
kernel,of_find_mipi_dsi_device_by_node,bus_find_device_by_of_node,put_device,retval,dev,Local,2
kernel,of_find_device_by_node,bus_find_device_by_of_node,put_device,retval,dev,Local,2
kernel,hi3670_pcie_get_resources_from_pcie,bus_find_device_by_of_node,put_device,retval,pcie_dev,Local,2
kernel,mpc7448_hpc2_init_IRQ,of_find_node_by_type,of_node_put,retval,tsi_pci,Local,2
kernel,dlpar_hp_pmem,of_find_node_by_type,of_node_put,retval,pmem_node,Global,3
kernel,pci_dma_bus_setup_pSeries,of_find_node_by_type,of_node_put,retval,isa_dn,Local,2
kernel,holly_init_IRQ,of_find_node_by_type,of_node_put,retval,tsi_pci,Local,2
kernel,chsc_get_next_subchannel,driver_find_device,put_device,retval,dev,Local,2
kernel,g5_cpufreq_init,of_cpu_device_node_get,of_node_put,retval,cpunode,Local,2
kernel,spm_cpuidle_register,of_cpu_device_node_get,of_node_put,retval,cpu_node,Local,2
kernel,parse_perf_domain,of_cpu_device_node_get,of_node_put,retval,cpu_np,Local,2
kernel,i82875p_setup_overfl_dev,pci_scan_single_device,pci_dev_put,retval,dev,Local,4
kernel,hp_zx1_setup,agp_alloc_bridge,agp_put_bridge,retval,bridge,Local,2
kernel,parisc_agp_setup,agp_alloc_bridge,agp_put_bridge,retval,bridge,Local,2
kernel,agp_amd64_probe,agp_alloc_bridge,agp_put_bridge,retval,bridge,Local,9
kernel,agp_amdk7_probe,agp_alloc_bridge,agp_put_bridge,retval,bridge,Local,2
kernel,xen_pcibk_xenbus_probe,alloc_pdev,free_pdev,retval,pdev,Global,4
kernel,atafb_probe,atari_stram_alloc,atari_stram_free,retval,screen_base,Global,6
kernel,get_ccwdev_by_dev_id,bus_find_device,put_device,retval,dev,Local,2
kernel,coresight_get_sink_by_id,bus_find_device,put_device,retval,dev,Local,2
kernel,get_subchannel_by_schid,bus_find_device,put_device,retval,dev,Local,2
kernel,__nvmem_device_get,bus_find_device,put_device,retval,dev,Para,4
kernel,scmdev_find,bus_find_device,put_device,retval,dev,Local,2
kernel,acpi_dev_get_next_match_dev,bus_find_device,put_device,retval,dev,Local,2
kernel,__of_iio_channel_get,bus_find_device,put_device,retval,idev,Local,2
kernel,ap_scan_adapter,bus_find_device,put_device,retval,dev,Local,29
kernel,chsc_async,chsc_get_next_subchannel,put_device,retval,sch,Local,8
kernel,of_genpd_add_provider_onecell,dev_pm_opp_get_opp_table,dev_pm_opp_put_opp_table,retval,genpd->opp_table,Global,3
kernel,devfreq_add_device,dev_pm_opp_get_opp_table,dev_pm_opp_put_opp_table,retval,devfreq->opp_table,Global,9
kernel,drbd_adm_dump_devices,drbd_find_resource,kref_put,retval,resource,Local,34
kernel,drbd_adm_dump_connections,drbd_find_resource,kref_put,retval,resource,Local,108
kernel,drbd_adm_prepare,drbd_find_resource,kref_put,retval,adm_ctx->resource,Global,28
kernel,dw_mipi_dsi_rockchip_host_attach,dw_mipi_dsi_rockchip_find_second,put_device,retval,second,Local,2
kernel,qcom_llcc_edac_probe,edac_device_alloc_ctl_info,edac_device_free_ctl_info,retval,edev_ctl,Local,2
kernel,highbank_l2_err_probe,edac_device_alloc_ctl_info,edac_device_free_ctl_info,retval,dci,Local,2
kernel,altr_portb_setup,edac_device_alloc_ctl_info,edac_device_free_ctl_info,retval,dci,Local,2
kernel,snd_tscm_probe,fw_unit_get,fw_unit_put,retval,tscm->unit,Global,7
kernel,snd_ff_probe,fw_unit_get,fw_unit_put,retval,ff->unit,Global,6
kernel,efw_probe,fw_unit_get,fw_unit_put,retval,efw->unit,Global,10
kernel,oxfw_probe,fw_unit_get,fw_unit_put,retval,oxfw->unit,Global,9
kernel,snd_dg00x_probe,fw_unit_get,fw_unit_put,retval,dg00x->unit,Global,7
kernel,dice_probe,fw_unit_get,fw_unit_put,retval,dice->unit,Global,8
kernel,bebob_probe,fw_unit_get,fw_unit_put,retval,bebob->unit,Global,29
kernel,motu_probe,fw_unit_get,fw_unit_put,retval,motu->unit,Global,16
kernel,get_l2cap_conn,hci_get_route,hci_dev_put,retval,hdev,Local,2
kernel,mlx5e_tc_add_fdb_flow,mlx5e_tc_int_port_get,mlx5e_tc_int_port_put,retval,int_port,Local,16
